Behavior,Count,Timestamp,Status,Position.X, Position.Y, Position.Z,MousePosition.X, MousePosition.Y,Result,
2,8,6,0,0.3055673, 0.3857774, 0.4339245,-0.04324025, -0.6021659,True,
2,3,2,6,-0.6729428, 0.5269793, -0.4618703,0.09035441, -0.5192405,False,
8,6,1,7,0.04949506, -0.5005823, -0.3752641,0.6956108, -0.0214493,True,
4,3,9,8,-0.3574736, 0.1691826, -0.5913141,-0.9002001, 0.3671738,False,
5,1,4,9,0.07757816, -0.3698653, -0.9226449,0.7257921, 0.3968894,True,
2,5,7,6,-0.4418451, 0.8564503, -0.05065292,-0.08445846, -0.4728689,False,
1,5,0,5,-0.7852497, -0.2132996, -0.4663599,-0.5338885, 0.5165541,True,
5,9,7,8,0.1252993, 0.01091825, -0.09914964,0.2351866, 0.7672046,False,
8,2,5,4,-0.0785704, -0.6758646, -0.3417414,0.1455025, 0.9877795,True,
7,5,8,4,-0.4750189, 0.5058933, 0.1241549,0.1196179, 0.9040602,False,
0,8,4,1,0.2503503, -0.2094807, -0.3964763,-0.5359396, -0.4450199,True,
1,1,7,4,0.4238261, 0.02664095, 0.8403995,-0.375862, -0.3526792,False,
2,2,4,0,-0.5304788, -0.3548131, 0.1684389,-0.8236675, -0.01772274,True,
8,6,4,6,-0.2618291, 0.2606052, -0.5525438,0.6550708, 0.1094064,False,
5,5,4,4,-0.7703167, 0.2146299, 0.3668288,-0.3744889, 0.2495025,True,
0,7,5,1,0.4346053, 0.5904619, -0.5301531,0.03855994, -0.2813111,False,
3,8,2,8,-0.1479571, 0.5001584, 0.2771704,0.6289839, 0.1894156,True,
4,6,7,1,-0.5109085, -0.3661733, 0.05251121,-0.2083288, -0.5654154,False,
7,2,0,5,-0.3284565, -0.2086989, -0.3931666,-0.9656795, 0.1321808,True,
3,7,6,5,0.09915362, 0.5565733, 0.3002753,-0.8941079, 0.2314571,False,
1,3,0,3,0.3401875, -0.1620555, 0.0885107,0.01581652, -0.3360114,True,
4,1,4,3,0.6014717, -0.07788169, 0.3297603,-0.3710486, 0.6350922,False,
0,6,1,0,-0.4026402, -0.6148515, 0.5376725,0.7011049, -0.547777,True,
1,5,1,2,-0.7410951, 0.4130187, -0.3168646,-0.7256107, 0.4197817,False,
5,7,8,0,0.2412978, -0.7860211, -0.3436092,0.2796265, -0.7000009,True,
7,6,5,7,-0.5643775, -0.2091571, -0.008271687,0.9221821, 0.361325,False,
6,5,7,8,-0.6773244, -0.2686842, -0.6497838,0.00738429, -0.1408243,True,
0,1,3,1,-0.2903954, -0.3457644, -0.3309321,0.08091656, 0.818149,False,
8,4,6,2,0.7177056, 0.2097058, 0.5695575,0.4747436, 0.3825718,True,
5,6,2,9,-0.2159664, -0.437337, -0.3387761,0.7982239, -0.2302063,False,
9,7,3,0,0.6623966, -0.1582839, -0.336331,0.5669694, 0.6158381,True,
7,3,8,8,-0.1767209, 0.1198426, -0.6794295,0.8145194, 0.5425148,False,
2,9,7,0,0.01507583, -0.1564974, 0.2983807,0.2008869, 0.2924112,True,
3,4,5,0,0.09661677, -0.3457747, 0.8300074,-0.2596204, 0.7701027,False,
2,7,0,3,-0.6657426, -0.2407546, 0.212416,0.4079879, 0.6446111,True,
0,3,0,7,0.1457025, 0.1093042, -0.2355372,0.343611, 0.8037841,False,
3,8,3,4,-0.7762032, -0.0227595, 0.4557682,0.4472427, 0.7728035,True,
5,0,8,3,0.365956, -0.4243649, 0.3209995,0.5200457, 0.440488,False,
1,7,4,3,-0.3245906, 0.5502421, 0.4562405,-0.917198, -0.3221936,True,
1,2,3,2,-0.5235224, 0.3040328, -0.3479279,-0.5757995, -0.0180869,False,
1,4,2,8,-0.2031781, -0.6317783, -0.5572404,-0.8802817, -0.1842271,True,
9,5,4,4,-0.1356703, 0.7437551, 0.4139739,-0.5029505, -0.142389,False,
1,2,7,0,-0.1758921, 0.1382641, 0.4849953,-0.223362, -0.3899196,True,
7,0,4,7,0.1154621, 0.1884332, 0.958753,0.5083234, 0.7545119,False,
5,2,7,9,0.05142785, -0.8094393, -0.288831,0.3451606, 0.4133283,True,
8,2,7,2,-0.9138939, -0.06150193, 0.2883464,-0.154511, 0.04188187,False,
2,1,2,8,-0.02950781, -0.2284635, 0.2767797,-0.1141205, -0.4755438,True,
7,1,7,1,-0.700865, 0.05339316, -0.5314748,0.4484332, -0.8487748,False,
2,5,1,6,0.4414833, -0.2454242, 0.1966423,0.01459226, 0.2481042,True,
2,3,3,9,-0.6868188, 0.2058219, 0.05539429,-0.4501495, -0.6932909,False,
4,2,0,7,0.3121944, -0.8690612, 0.2872433,-0.6647302, 0.2914686,True,
4,8,7,2,0.1060821, -0.7149178, 0.2973556,0.6920679, -0.6990204,False,
2,9,2,7,0.09608974, -0.2215462, 0.7688087,-0.864522, -0.3158053,True,
9,3,1,5,-0.02798631, -0.1889876, -0.9173421,0.3454265, 0.2030703,False,
3,6,0,5,-0.311911, -0.4305804, -0.0860396,-0.345837, -0.5682915,True,
9,1,3,4,0.7284792, 0.172262, -0.6376672,-0.1578191, -0.885442,False,
5,4,7,3,0.06262174, -0.6222502, 0.7303889,0.7420128, 0.3590187,True,
4,3,5,0,-0.1621788, -0.7578889, -0.5968952,0.9421532, 0.223828,False,
3,1,3,0,-0.5348991, -0.3978424, -0.1655442,-0.5958258, 0.2238556,True,
3,1,5,6,-0.4849735, 0.6439207, -0.003142693,-0.5106511, -0.2048464,False,
2,5,5,2,-0.4713488, -0.262032, 0.6051438,-0.9366051, -0.0954026,True,
5,9,2,0,-0.3502709, 0.3898492, -0.2208938,0.3777143, -0.4169107,False,
7,7,4,9,0.675055, 0.002270268, -0.3717725,0.5676391, -0.2043143,True,
0,4,5,1,-0.7886974, -0.3267485, 0.292466,-0.6920934, -0.05107,False,
5,5,4,9,0.2358665, 0.1559311, 0.1188167,-0.3750793, 0.1746774,True,
2,0,3,5,-0.7088439, -0.1643854, -0.6837325,-0.8133713, -0.441524,False,
3,1,4,7,-0.1199124, 0.8218417, -0.5221858,-0.2067306, 0.2434616,True,
4,1,6,9,-0.6486906, 0.2284649, -0.2982642,0.6794956, -0.1720227,False,
2,1,6,3,0.3707019, 0.2057445, 0.1149099,-0.001737393, -0.3608555,True,
2,4,2,9,0.1596083, 0.01544874, 0.2752233,0.2915334, 0.6389942,False,
8,4,8,3,0.7004191, -0.3226502, -0.3173018,-0.2786241, -0.37277,True,
9,1,9,9,0.51328, -0.5542303, -0.6476754,0.7415876, -0.1734822,False,
3,0,7,4,0.672051, 0.1306504, 0.4964223,-0.195256, 0.6089464,True,
2,8,6,7,-0.5440003, 0.1089415, 0.2174834,-0.1753489, 0.7692884,False,
8,9,6,5,0.4163494, -0.6185522, -0.5219806,-0.1475637, -0.2935662,True,
0,3,2,6,-0.05442958, -0.4937313, -0.7797354,-0.04190014, 0.08007349,False,
9,5,9,5,0.8077757, 0.1819534, -0.2555886,0.713505, -0.3511403,True,
2,5,4,6,-0.5365354, -0.3710648, 0.5846154,0.0008527511, -0.4253891,False,
6,4,2,2,-0.3813515, -0.3254221, -0.4348487,-0.2103478, 0.264231,True,
0,3,1,1,0.3435504, 0.4003351, 0.1501968,-0.5175725, 0.8409587,False,
1,1,5,2,0.4386542, 0.4829957, 0.742934,-0.7392756, -0.4445357,True,
3,4,0,9,-0.7366495, -0.2918938, 0.1139698,0.1915013, -0.6567569,False,
9,8,6,4,-0.3850772, 0.5215369, -0.04197219,-0.1111644, 0.4596167,True,
3,1,5,2,-0.2402545, 0.4100899, -0.8201721,0.8323215, 0.2550248,False,
6,5,2,1,0.195711, -0.6032972, -0.3187691,-0.9177647, -0.1604589,True,
0,9,4,4,-0.3669055, 0.6013423, -0.04161451,-0.3066919, -0.1763918,False,
8,5,9,3,0.7818547, 0.06036991, 0.06694911,0.5100088, 0.1093298,True,
6,2,9,0,-0.088998, 0.195282, -0.5691713,0.1413984, -0.2128832,False,
5,1,7,0,0.5557757, 0.6496949, 0.08913144,-0.8020135, 0.5516421,True,
6,5,6,8,0.2359878, -0.3909074, 0.05265636,0.7834593, -0.09237349,False,
5,0,4,5,-0.2304271, 0.7014751, -0.3390257,0.6258572, 0.2054911,True,
7,4,2,7,0.6411618, -0.1379467, -0.1032417,0.3458281, 0.8972123,False,
5,1,9,0,-0.5109807, 0.6862325, 0.1720278,-0.8157086, -0.4067263,True,
6,6,5,1,0.8537627, 0.3504348, 0.1650647,-0.3579842, -0.7911904,False,
1,8,6,0,0.06737725, 0.6772178, -0.4664093,-0.09766649, 0.2370152,True,
6,6,5,6,0.2324498, -0.3788472, 0.312082,-0.3200149, -0.820996,False,
2,0,2,1,-0.2386476, -0.2152601, -0.7094386,0.1648349, -0.4073243,True,
9,1,1,6,0.7980555, 0.1858437, 0.3711314,-0.05351147, -0.830296,False,
0,1,6,8,-0.08612473, 0.2941571, 0.3298981,0.5756099, 0.669279,True,
3,3,2,2,-0.05420649, 0.2323193, 0.02858479,-0.01405218, 0.3325035,False,
8,4,1,3,0.7697247, -0.04862805, 0.6128146,-0.2326258, -0.8616846,True,
5,3,4,0,0.5390484, 0.4321229, 0.6064769,-0.3319532, -0.116254,False,
5,7,3,4,0.9807605, -0.01441003, -0.1277819,-0.4521576, 0.3152837,True,
8,2,9,1,0.3967364, 0.333425, 0.670812,-0.3380172, -0.1457297,False,
9,3,2,4,-0.6447061, 0.3595287, -0.08743022,0.2831589, 0.5237796,True,
6,7,3,1,0.4275273, -0.01838401, -0.466904,-0.637529, 0.5350609,False,
1,6,5,1,0.1137965, -0.6419066, -0.1384029,-0.07249482, -0.1972341,True,
3,7,1,6,0.8529909, -0.1525928, -0.2901165,0.07555747, -0.5835604,False,
9,7,3,0,0.2589462, -0.7072343, 0.3414905,0.1604755, 0.2840224,True,
8,8,3,6,-0.5653955, 0.2012745, -0.5306753,0.1461041, 0.8465355,False,
6,3,4,6,0.6915466, 0.1752307, -0.02994581,-0.4463534, 0.3266773,True,
7,8,0,0,-0.1651889, 0.4910604, 0.05966992,0.03811102, -0.3048862,False,
2,9,7,9,-0.3989879, -0.6716444, 0.5454064,0.5232066, -0.3249148,True,
1,8,8,2,-0.530774, 0.376529, 0.6295277,-0.2215033, 0.9079207,False,
6,3,5,2,0.1513282, -0.4725701, -0.1752875,-0.290376, -0.2654251,True,
5,4,5,5,-0.3103996, 0.7122445, -0.1744036,-0.4962254, 0.5161715,False,
3,7,3,0,0.5593172, -0.5003227, 0.1318247,0.7007789, -0.3457166,True,
1,0,0,6,-0.03515551, -0.3378154, -0.6626967,0.08414806, -0.9591041,False,
9,1,1,2,-0.3385027, -0.0119249, -0.6250403,0.6744434, 0.1080302,True,
7,3,4,5,-0.05438524, -0.155809, -0.3920161,-0.1844096, 0.3668135,False,
0,4,1,5,-0.2552315, 0.1631846, -0.04848303,-0.4814736, 0.1633549,True,
4,0,1,7,-0.05276714, 0.3951446, 0.3343562,0.7523887, -0.4897992,False,
3,4,3,3,-0.5584894, -0.02277178, 0.281181,-0.8905866, 0.4272934,True,
3,6,2,8,0.8728012, 0.07780343, 0.1150273,0.3142282, -0.8753327,False,
6,1,6,1,0.01593661, 0.6872907, 0.1048058,-0.1227851, 0.239754,True,
4,9,6,4,-0.641037, -0.7112813, 0.07486381,0.6015568, 0.3697118,False,
5,2,3,2,-0.5650746, -0.7100472, 0.2131869,-0.3792968, -0.7776147,True,
2,1,3,1,0.4258603, 0.7357914, 0.2979277,0.9491645, 0.2572773,False,
3,9,0,9,0.2417215, 0.383177, -0.8660166,-0.4995635, 0.4610637,True,
5,0,4,8,0.8517308, 0.2891225, -0.04729671,-0.1269362, -0.436603,False,
9,1,9,3,-0.639819, 0.5531652, 0.02753069,0.6318266, 0.3819672,True,
1,8,0,8,-0.2367101, -0.1471157, 0.6814386,-0.7222174, 0.628201,False,
2,1,1,2,0.6477343, -0.09563648, -0.07066264,0.8784314, -0.3886389,True,
6,1,5,2,-0.5016341, -0.6347398, -0.379534,-0.1465004, -0.5036371,False,
5,4,7,0,-0.8186015, -0.4126949, -0.3178541,-0.4109509, 0.4756424,True,
6,7,0,4,-0.6714633, 0.6286552, -0.2744544,-0.1661769, 0.9753405,False,
2,3,3,2,-0.3457001, -0.5507693, -0.334051,-0.9450654, 0.1221322,True,
9,7,4,7,0.4346583, -0.2350646, 0.334601,0.4997618, 0.6391016,False,
3,8,8,3,0.5858797, 0.4380168, -0.2211956,-0.7093922, -0.3498984,True,
6,9,4,4,0.3147724, -0.5644346, 0.0273693,0.3143171, -0.1594824,False,
9,6,4,4,-0.4097059, -0.1877035, -0.02166845,-0.8003217, -0.1186134,True,
6,2,9,7,0.1827017, -0.0004861801, -0.622324,0.2861491, -0.04733003,False,
9,8,4,2,-0.8613487, 0.003971234, 0.02595815,-0.545183, 0.1999595,True,
6,7,1,4,0.6949762, 0.2908418, 0.3252108,-0.7660599, -0.5439898,False,
9,7,6,4,-0.04988999, 0.6842948, -0.6593866,-0.9236891, 0.2153383,True,
9,3,4,9,0.2586506, 0.2252809, -0.1804235,-0.1202083, 0.6901729,False,
6,6,7,0,-0.3337226, -0.3839901, -0.4136423,0.4469996, 0.3179046,True,
7,7,8,1,-0.3024744, -0.03186593, -0.5754564,0.3829627, 0.5258684,False,
7,9,2,7,0.5429342, 0.2397583, -0.5072909,0.5157988, -0.7680245,True,
3,4,2,0,-0.05676882, -0.2152448, 0.8415116,0.7673518, 0.1821351,False,
5,8,1,3,0.3620858, 0.4325073, 0.5223311,0.422617, -0.6813272,True,
5,9,5,3,-0.3302755, -0.04543201, -0.7244703,0.6924254, 0.2944033,False,
1,7,1,2,-0.4362629, 0.2990465, 0.410477,0.4501906, 0.3916277,True,
7,5,8,6,0.1630354, -0.05490414, 0.1249759,-0.4506143, 0.1385275,False,
4,2,8,1,0.8720134, -0.3547535, -0.3187332,0.4658373, -0.497935,True,
2,8,2,5,-0.1522995, 0.4383856, -0.3037702,-0.4977816, 0.8051758,False,
4,8,0,3,-0.1236107, -0.7062942, 0.5000038,0.02407934, 0.1881256,True,
5,0,4,7,-0.5636336, 0.03685439, -0.08875453,0.3150421, -0.553106,False,
8,9,7,0,-0.3616049, 0.2742212, 0.528657,-0.900669, -0.225513,True,
1,6,9,0,-0.7925373, 0.1687564, -0.01497095,-0.835876, -0.3596151,False,
7,8,2,5,0.2800457, -0.04081051, 0.9137499,-0.3926512, -0.7062204,True,
8,6,8,6,0.5307982, -0.4932477, 0.2625481,-0.8788521, 0.3084081,False,
0,8,2,4,-0.4291107, -0.2792941, 0.2928964,0.1581756, 0.5128154,True,
7,7,7,8,0.1115906, 0.4673596, -0.7449923,0.6073893, 0.2562633,False,
6,4,5,2,-0.5514168, -0.6181425, -0.3280437,0.07347636, 0.1307326,True,
7,4,9,2,-0.5695247, 0.06825652, 0.1329511,0.9546016, -0.2960397,False,
8,7,1,0,-0.8240787, -0.3042153, -0.0461946,-0.6404876, 0.6525658,True,
1,6,4,0,0.3260039, 0.9443825, 0.007645732,-0.8529356, 0.3683049,False,
1,6,6,0,-0.6270883, -0.5865352, -0.04939007,0.03389125, -0.7673992,True,
3,8,0,8,0.7345659, -0.1071513, -0.1953039,0.2129485, -0.827085,False,
3,5,1,8,-0.5387076, 0.3822828, -0.2733961,0.4045945, 0.3339529,True,
8,7,1,3,0.5387604, 0.4910585, 0.2574953,-0.7659935, 0.5476179,False,
0,5,9,1,-0.006646943, -0.06264806, -0.4179614,-0.09520973, -0.7644122,True,
4,2,1,1,0.7071222, 0.1798872, 0.3063469,-0.1267832, 0.5037426,False,
6,6,9,9,-0.4708703, -0.1405721, 0.2051412,-0.104361, -0.210054,True,
7,7,7,9,-0.2128384, -0.02613144, 0.9675419,-0.4827308, -0.1628221,False,
0,4,8,0,-0.5182536, 0.6783746, -0.4989,0.2133518, -0.6816339,True,
3,2,0,5,0.1650498, -0.2979109, -0.7234278,-0.5353972, -0.1720846,False,
2,2,7,4,-0.7116416, -0.265894, -0.06816974,-0.4405534, 0.8332518,True,
2,8,4,8,0.1385776, -0.1923344, -0.1114744,-0.6524379, 0.2491464,False,
0,5,5,1,-0.08351418, 0.2061203, 0.3057957,0.5934498, 0.03613459,True,
0,2,1,0,0.4294993, 0.007455848, 0.2678482,-0.3780625, -0.208161,False,
1,1,9,2,0.115085, 0.5557075, 0.6370531,-0.008553541, -0.2936565,True,
0,4,4,0,0.4896228, 0.3935609, 0.6530794,-0.9777609, 0.06413665,False,
4,2,7,7,0.3062492, -0.1003204, 0.2403542,-0.4294612, -0.8561023,True,
6,9,5,5,-0.18516, 0.4023677, -0.7115896,-0.01523022, -0.3944038,False,
1,0,1,3,0.3815281, -0.7816197, 0.396899,0.09972767, -0.3392081,True,
9,1,1,9,-0.3972587, 0.3886012, -0.5363459,-0.5113775, 0.3082825,False,
5,2,1,9,-0.5901258, 0.1731724, 0.5472026,-0.6666963, 0.4314135,True,
0,8,7,2,-0.6011084, 0.02146051, -0.6743329,-0.02397627, -0.1148607,False,
9,1,3,9,0.3404326, -0.6219977, -0.2975631,-0.08396917, -0.207133,True,
5,6,5,5,0.4188587, -0.1772472, 0.502027,0.9769714, 0.0901313,False,
6,8,7,2,0.004135067, 0.853678, -0.2431525,-0.6524872, 0.3731809,True,
6,1,1,1,0.08616478, -0.1978325, -0.06382284,0.8067631, -0.4300724,False,
3,2,4,3,-0.5942972, 0.7967432, 0.07804398,-0.2307443, -0.7765892,True,
8,2,8,7,-0.4006483, -0.2818411, -0.0632284,0.6381404, 0.267755,False,
7,9,8,2,0.2242396, 0.8171514, 0.3762526,-0.6616224, 0.5076274,True,
0,1,8,7,0.6506621, -0.6108444, 0.3888549,0.1278768, -0.5521227,False,
3,9,9,0,-0.5753534, 0.3353355, 0.4652338,0.7657478, -0.5836888,True,
0,4,1,9,-0.2390177, -0.598281, 0.1315961,0.3376353, 0.5492638,False,
3,7,3,3,-0.5645238, 0.7214847, 0.2260394,0.8025859, -0.3392751,True,
4,0,8,3,-0.803873, 0.06662352, -0.501343,0.3137733, 0.7865384,False,
0,0,9,2,-0.1375343, -0.4797826, 0.7244235,-0.2222666, 0.3136821,True,
9,1,6,3,0.2277524, -0.5541982, 0.735681,0.8806679, 0.3302929,False,
6,5,1,3,-0.394139, 0.2151429, -0.4000846,0.6760645, 0.05174505,True,
9,2,3,7,0.3763796, -0.07504228, 0.02873025,-0.2541972, 0.5191385,False,
8,9,6,5,-0.06218256, 0.04029386, 0.2458509,-0.5570428, 0.7856351,True,
4,9,2,0,0.1371638, 0.4872633, 0.1992174,-0.1569674, 0.02408206,False,
9,2,3,4,0.9300107, 0.09159666, 0.01501062,-0.1442693, 0.3609996,True,
4,7,5,9,-0.06170646, -0.5772937, -0.4574289,-0.4484923, -0.8127491,False,
3,6,5,5,0.2154827, 0.3210482, 0.4028803,-0.6154994, 0.4763662,True,
9,9,8,7,0.2696306, -0.2057695, -0.2857519,-0.2346354, -0.1495753,False,
0,1,0,2,-0.8484749, 0.1549063, 0.106502,0.1952811, -0.2301872,True,
9,3,4,5,0.950996, 0.1388263, 0.2475779,-0.5276648, -0.5523974,False,
5,7,3,7,0.4392003, 0.2881621, -0.1077263,0.3615945, -0.008428055,True,
0,7,7,1,0.1852628, -0.7468323, -0.04698507,0.09181581, 0.3747513,False,
3,7,0,6,0.3979892, 0.4371781, -0.7268637,0.6665104, -0.3151816,True,
2,1,6,6,0.7839504, -0.3232047, -0.5257107,-0.538924, -0.4813644,False,
2,2,8,5,-0.5270787, -0.2478625, 0.3915257,0.4991506, -0.6537908,True,
8,1,1,2,0.3158913, -0.34273, 0.5743673,-0.06692935, -0.6000388,False,
6,9,9,8,-0.3783911, -0.7550296, 0.456343,-0.6431645, 0.3217869,True,
6,2,3,2,-0.4817142, -0.2691416, -0.1982906,-0.4654078, -0.7724633,False,
6,3,4,0,0.2763582, -0.8752483, 0.1715064,0.565854, 0.7972969,True,
5,4,8,9,-0.4712315, 0.3351336, 0.2383457,0.3363787, 0.3081449,False,
5,4,9,8,0.6566542, 0.5093061, 0.5044457,0.4107794, 0.5614256,True,
0,2,2,4,0.02872989, -0.03810894, -0.1628171,0.47479, 0.2931874,False,
5,5,3,6,-0.1464044, 0.0179246, 0.4724018,-0.182507, -0.6432073,True,
4,0,3,4,-0.2803775, -0.5850953, 0.6523818,-0.02257963, -0.3357744,False,
9,2,5,6,-0.5569613, -0.323944, -0.06265972,-0.8206141, -0.2132566,True,
8,7,1,2,-0.7355871, 0.2002958, -0.1025349,-0.682538, -0.1530051,False,
3,2,8,0,-0.09105796, 0.04801286, -0.6836711,0.2113296, -0.3969767,True,
1,0,8,2,0.3487317, -0.4075874, -0.02336788,-0.2647858, -0.4906058,False,
6,3,1,7,-0.08182257, 0.3514763, 0.7886583,0.3919592, 0.7342749,True,
7,2,4,3,-0.6005303, -0.2460123, 0.04434151,0.3191648, 0.3712532,False,
2,5,7,1,0.7213439, 0.3327113, 0.1113407,0.2059422, 0.7062571,True,
4,9,4,2,0.1244882, -0.2925416, -0.2264212,0.8196122, 0.005975819,False,
7,0,0,0,-0.3185063, 0.5172608, -0.323303,-0.6133312, 0.3417178,True,
2,8,5,8,-0.1567337, 0.006234347, 0.5437937,0.1842548, -0.4395397,False,
5,4,0,0,-0.182438, 0.1404822, 0.02528287,-0.2380673, -0.1178596,True,
4,4,1,3,-0.01194226, -0.08518101, 0.8726127,0.154994, 0.5545154,False,
8,0,2,1,-0.08370797, -0.3810171, -0.3229176,0.04822147, -0.903037,True,
0,4,1,0,-0.2031727, 0.3959033, 0.4100932,-0.2148918, -0.8281859,False,
9,6,2,4,-0.4160129, 0.1967391, -0.168827,0.02179103, 0.1372812,True,
7,5,7,6,-0.0921298, 0.6039619, -0.1839515,-0.1852311, -0.1395003,False,
